,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
0,"Đi Quy Nhơn cứ lo không có pizza ăn nhưng nhờ có foody nên đã tìm ra quán này nèeee 😆 Review tốt nên mình cũng rất háo hức và wow đúng là tốt thật á mọi người! 1st impression là quán cách ksan mình 200m )))), gần biển nữa. Đồ ăn ngon, hợp khẩu vị. Gnocchi sốt ngon, pizza thơm, phô mai ngậy, size 25cm mà chưa đến 150k @@ xỉu vì rẻ là có thiệt và sườn ăn vừa miệng. Cheesecake ăn chua chua còn brownie thì hơi cứng xíu, ncl ngon. Staff nice cực kì xong còn giới thiệu con chó giống gì này nọ cho mình nữa )))) Con bulldog tên Jimmy gì ó thì cute thực sự cứ ngồi chực ăn hôi buồn cười lắm 😅 Ăn 5 người thiệt hại 698k thôi (gồm cả nước). Chốt lại là kết quán này luôn sau này đến QN phải kéo thêm người đến mới được keke",0,0,0,5,0,0
1,"các món ăn ở đây không có gì đặc sắc, có lẽ nấu theo kiểu nhà hàng cho khách tây, nên các món không có j đặc trưng, nhiều món nhưng tầm thường, nêm nếm rất lạt lẽo, không đúng khẩu vị Việt",0,0,1,1,0,0
2,Rất khuyên bạn nên ghé thăm quán bar thể thao này,3,0,0,0,0,0
3,"Bãi Đá Trứng có những viên đá hình tròn hoặc bầu dục giống trứng khủng long trong thời cổ đại. Nơi đây rất phù hợp cho các tín đồ mê “tự sướng” kỷ niệm. Bãi đá khá nhỏ, nhưng cũng đáng để bạn trải nghiệm khi đến Quy Nhơn. Lối vào bãi trứng mát mẻ và còn hoang sơ. 2 bên đường rợp bóng cây và có các quán Cafe để bạn dừng chân nghỉ ngơi thư giãn. Tới đây bạn có thể gửi xe và đi bộ tham quan các địa điểm liền kề như Hòn Chồng, Đền thờ Hàn Mặc Tử, Bãi Hoàng Hậu...",5,0,0,0,0,0
4,"Tàu cá và tàu du lịch chung một chỗ nên rất mùi, giờ còn đang xây dựng nữa nên đường đi vào khá bẩn
",0,0,0,0,0,0
5,"Quán chắc làm việc với lê tân FLC để đưa đón miễn phí. Nhưng đồ ăn thì cơ bản đắt và không tươi. Lúc hỏi nhân viên mực tươi không thì nhân viên nói tươi, nhưng lúc mang ra thì mực không tươi và cảm nhận đc ngay là đồ đông lạnh. Hàu nướng mỡ hành thì quá dở, 1 vỏ mà có tới 2 con hàu và không bằng quán vỉa hè. Khuyến nghị du khách không nên đến quán này.",0,0,0,1,5,0
6,"Hải sản ở Quy Nhơn vốn đã khá tươi và nhiều loại lạ đa dạng rồi. Quán khá lớn, rộng rãi và thoáng đãng. Nhân viên phục vụ lịch sự, lễ phép nhưng hơi chậm chạp. Nhà mình đi ăn có 1 lô lốc lít nhít trẻ con không ăn nhậu được nên phải gọi cơm thịt trứng canh cho tụi nhỉ ăn riêng mà phải chờ lâu ơi là lâu. Đến khi mâm người lớn phải ăn nhậu được nửa bữa rồi mới thấy mâm trẻ con được vào ăn. Đồ ăn mặt bằng chung chế biến ổn, có món ăn rất lạ miệng.",0,0,0,4,0,0
7,"Sau một tuần làm việc mệt mỏi chắc hẳn ai cũng muốn được nghỉ ngơi, Heekcaa sẽ là nơi tuyệt vời vào ngày cuối tuần để bạn tụ tập tám dóc với bạn bè. View đẹp, không gian yên tĩnh, nhân viên nhiệt tình vui vẻ. Nơi đây sẽ không làm bạn thất vọng đặc biệt là nước. Phải nói là rất ngon giá cả cũng không quá cao phù hợp với mọi người. Hôm nay tôi nhâm nhi thử món Trà sữa cheese thêm trân châu trắng và Sữa tươi Heekcaa trân châu đường đen. Trân châu ở này rất ngon không như những quán khác mà tôi từng đi. Chắc đến đây miết quá )))",0,0,0,5,0,0
8,"Quên nói về thức ăn - kêu nhum gì mà thê thảm , không béo gì hết, chỉ 1 màng mỏng , ăn không cảm nhận được gì luôn , tôm mũ ni giá 2 tr2 /kg vậy mà lúc chế biến không hề đem lên cho khách xem, lúc order thì pv nói 1 con chỉ khoảng mấy lạng cuối cùng tính tiền 1 con gần cả ký lô- - Nói chung tránh xa quán này ra",0,0,0,1,0,0
9,"Vào siêu thị mà bị bảo vệ đi theo sau từ ngoài cổng cho tới mỗi khu vực quầy hàng, cảm giác rất khó chịu
",0,0,0,0,0,3
