,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
0,"Rộng, thoáng, hệ thống xử lý chất thải tốt, có tương đối nhiều gian hàng, có khu vui chơi, rạp phim hiện đại, khu ăn uống thì hơi ít. TT mua sắm ngay trung tâm thành phố, thuận tiện, bãi đậu xe rộng rãi. Rất thích
",0,0,0,0,0,4
1,"Khách sạn Mira Eco nằm ngay sát bãi biển, view biển đẹp.",0,5,0,0,0,0
2,"Sân bay nội địa , không tránh khỏi sự thiếu thốn hơn sân bay Quốc tế
Nhưng góp phần lớn trong sự phát triển du lịch và kinh tế đất nước ",0,0,0,0,3,0
3,"Tìm trên mạng quán chè này, đi qua lại 2-3 lần mới dám ghé vào do quán không những chỉ phục vụ mỗi món chè mà còn có bán cả cà phê & trà sữa nên cứ tưởng đi lộn. Không gian rộng rãi và có nhiều góc tự sướng . Ghé quán 2 lần nhưng chỉ ăn chè nên không biết mấy món còn lại ngon không. Riêng chè thì cực ngon, ly nhỏ chứ ko như ly ở Sài Gòn nhưng rất đậm đặc. Giá cả mình thấy cũng phải chăng - 18k/1ly- vừa phải , không đắt lắm , nhưng giá này hơi cao so với sinh viên.",0,0,0,4,0,0
4,"Trong một lần du lịch Quy Nhơn, đi dạo bộ buổi tối ở quảng trường thấy khát nước thì ghé vào quán này thử. Quán có cầu thang lên xuống nằm khuất nên các người bạn đến sau kiếm được vị trí khá khó, phải gọi điện 2 3 lần mới tìm được. Không gian quán được bài trái khá đẹp và có view nhìn xuống thành phố đẹp. Thực đơn của quán cũng khá phong phú, giá cả cũng phải chăng. Tuy nhiên nếu đi nhóm đông theo mình thì rất khó xếp chỗ ngồi, bên mình cũng phải chia ra ngồi 2 nơi mới đủ chỗ. Gặp hôm trời nóng và quán đông nên cũng thấy hơi ngột ngạt. Nếu có dịp du lịch sẽ ghé quán nữa.",0,0,3,0,0,0
5,"Mình đi ăn quán từ lúc còn bán tại nhà ở*** cũng hơn chục năm rồi giờ đi ăn lại chất lượng kém thật sự. Giá thì vẫn cao mà thịt dai, cắt muốn vỡ đĩa mới đứt thịt, sốt thì nhạt nhẽo, gọi steak nai mà ăn như thịt heo, ly rượu mang đến bàn còn dính son môi của khách khác. Giá rượu ngang giá ks nhưng chưa đc 1/3 ly. Mình khá dễ tính ít khi review quán nhưng dịch vụ quá tệ.",0,0,0,1,0,0
6,Tôi gửi cho họ hình ảnh của tôi từ di động của tôi và người lái xe đã tìm thấy tôi ngay khi tôi ra khỏi sân bay.,0,0,0,0,4,0
7,Chỉ 5k đồng và mặc dù chậm nhưng nó hoạt động! Phi trường. Người soát vé trung thực và không chấp nhận nhiều hơn,0,0,0,0,4,0
8,"Quá tệ, khách còn ngồi nhậu mà vẫn dọn quán nước lênh láng ngập chân khách. Thái độ coi thường không tôn trọng khách. Hàu nướng như đốt than ko ăn được.",0,0,1,1,0,0
9,"Nước ép dưa hấu cũng rất thơm và ngon. Nhân viên nhanh nhẹn, lịch sự. Nhân viên ở đây phục vụ rất nhiệt tình và vui vẻ và dễ thương lắm luôn.",0,0,0,5,0,0
10,"Big C Quy Nhơn rộng và xây dựng bài bản, có hệ thống, hàng hóa đa dạng, giá tạm ổn. Tuy nhiên còn ít mẫu mã và lối đi cầu thang xây dựng hơi bất tiện",0,0,0,0,0,4
11,Không gian rộng rãi thoáng mát rất thích hợp cho việc vui chơi và hoạt động nhóm ở đây. Không gian rộng rãi sạch đẹp và thoáng mát. Phục vụ nhất nhiệt tình. Có nhiều cảnh rất đẹp và nhiều khu vui chơi bổ ích,5,0,0,0,0,0
12,Thức ăn ở đây rất ngon và sạch sẽ Nhân viên rất thân thiện,0,0,0,5,0,0
13,"E chọn gần 10 cái khách sạn rồi . chấm điểm e này cao nhất . đến lúc vào công nhận là quá ok luôn ạ. lễ Tân thân thiện , phòng veiw đẹp , sạch sẽ , yên tĩnh . mê chữ ê kéo dài luôn ik",0,5,0,0,0,0
14,"Nằm trên đường Mai Xuân thưởng, gần trường cấp 2 của mềnh. Từ lâu rồi, Kiwi tuy là quán ngồi vỉa hè nhưng đồ ăn thức uống phải nói là rất chất lượng. Giá bình dân. Ngoài chè khúc bạch có Nhiều món ăn vặt và đồ uống ngon lạ. Phục vụ nhiệt tình. Sẽ lui tới thường xuyên :D",0,0,0,5,0,0
15,"Mình đi công việc nên đặt phòng ở tạm 1 đêm. Mình đến lúc 11 giờ 30 và resort có phòng trống nên cho mình nhận phòng luôn. Phòng hơi nhỏ so với chức năng resort. Nhưng cảm giác không có người chăm chút, vệ sinh thường xuyên. ĐƯợc mỗi cái nhân viên nhiệt tình, dễ thương.",0,3,0,0,0,0
16,"Đồ ở shop đẹp lắm ạ. Giao hàng lại nhanh, shop inbox tư vấn nhiệt tình lắm...😙😙",0,0,0,0,0,5
17,"Đi học SG về nhà lúc nào cũng thèm bánh hỏi cháo lòng hết☺️☺️ Mình hay ăn quán này, tại bán hết trễ vì mình ngủ nướng ý. Phần 30k một dĩa bánh hỏi với một chén cháo, muốn ăn thêm bao nhiêu cháo cũng được nha quán còn có tốp mỡ có thể xin thêm nha. Phần ăn khá ngon, ruột không bị tanh hay đắng nè, mình thích ruột nhất nên quán nào ruột ngon là yêu liền. Nếu bạn dạy trễ thì có thể tham khảo quán này ăn sáng nha, mình đi 9h thì vẫn còn ý.",0,0,0,5,0,0
18,"Sân bay có thiết kế không gian khá đẹp, khách ít nên mọi tiện nghi điều ổn. Ai tùng đi nhiều sân bay ở Viêt Nam sẽ biết, gần như Sân Bay Phù Cát là đẹp nhất Việt Nam. nó đẹp không phải vì to lớn hay đông đúc, mà nó đẹp bởi khiến trúc rất hiện đại, đẹp mắt, rất nhiều không gian cho việc trang trí. Khác hẳn với sân bay Cam Ranh, cũng là một sân bay tầm cở và mới xây nhưng chả có gì đăc sắc hết, họ sử dụng không gian chủ yếu cho việc quảng cáo và mua bán haiz
",0,0,0,0,3,0
