,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
0,"Nhà hàng sạch sẽ , không gian đẹp , thoáng mát , món ăn vừa giá tiền. Quản lý chưa chặt chẽ , cách phục vụ và giao tiếp của 1 số nhân viên thiếu lịch sự",0,0,3,0,0,0
1,Mua quần áo nên đén đây mà phải thận trọng không bị chặt chém,0,0,0,0,0,3
2,"Tôi đã được đón bởi corp này và tài xế khăng khăng tôi đặt chiếc túi nhỏ của tôi trong cốp xe cùng với chiếc vali. 
Tôi đến khách sạn của mình và anh ấy đã thay đổi từ chối đưa cho tôi chiếc túi nhỏ của tôi và khẳng định tôi đã không đưa nó cho anh ấy. Anh ta từ chối mở cốp xe và để tôi nhìn, trở nên hiếu chiến, hung bạo và đe dọa tôi trước khi cướp tiền của tôi và lái xe đi.",0,0,0,0,1,0
3,Khách sạn nằm ngay trung tâm nên đi lại thuận tiện,0,5,0,0,0,0
4,"Một địa điểm tham quan du lịch, nghỉ mát tốt hiện nay tại Quy Nhơn
Bạn chỉ cần đi hết Cầu Thị Nại (thành phố --> khu kinh tế Nhơn Hội) là sẽ thấy ngay khu du lịch phía bên tay phải
Bạn nên đi vào những ngày không phải dịp lễ, tết để có những bức ảnh đẹp nhất mà không phải lay hoay chọn hướng vì quá đông người
Vé vào cổng ngày thường cho nhu cầu tham quan rất rẻ (50.000 1 người) và bạn phải trả thêm phí trò chơi nếu bạn có nhu cầu khi vào bên trong
Tại đây cũng có nhà hàng và khu ăn uống cho nên bạn không phải đi đâu xa hay là đem theo cả mớ đồ ăn cả
Sẽ rất thú vị cho những cặp tình nhân đi du lịch vì ở đây có rất nhiều homestay qua đêm và view thì miễn bàn luôn nhé!",5,0,0,0,0,0
5,"Giá cả phải chăng, nhân viên nhiệt tình, gần khu trung tâm dễ dàng di chuyển tới các điểm vui chơi",0,5,0,0,0,0
6,"Bữa ăn sáng tại khách sạn ít món, cần được cải thiện hơn.",0,0,0,3,0,0
7,"Mẫu mã phong phú, nhân viên nhiệt tình. Sẽ giới thiệu người thân khi có nhu cầu",0,0,0,0,0,5
8,"Khung cảnh sạch đẹp và rất dễ dàng khám phá những địa điểm của khu, quán trong khu có vị trí đẹp, nhiều lựa chọn để check-in ảnh đẹp.
Câu chuyện cảm động về Hàn Mạc Tử khiến du khách bồi hồi nhớ về những vần thơ tiêu biểu của ông.",5,0,0,0,0,0
9,"nhân viên rất dễ thương. hướng dẫn rất nhiệt tình, thoải mái tận tình, hệ thống xe cho thuê đều là xe mới rất tiết kiệm xăng,...",0,0,0,0,4,0
10,"Phòng ốc được giữ vệ sinh sạch sẽ, tiện nghi cơ bản đầy đủ tuy nhiên khá cũ rồi. Tác phong phục vụ ok, nhân viên lịch sự và nhiệt tình trong giao tiếp.",0,4,0,0,0,0
11,"Quán thiết kế đẹp nhưng cũng có một số món ăn ngon như cá tằm, heo tộc, còn món lươn đùm, cá sấu thì ko ngon lắm, khách du lịch có thể ăn thêm món đọt su su xào.",0,0,0,3,0,0
12,"Hàng hoá chất lượng , giá cả hợp lý , so với đất liền đầy đủ không thiếu gì cả , rất nhiều đồ nhập khẩu , nhân viên rất nhiệt tình chỉ dẫn cho khách hàng , mình khuyên các bạn có ra Cát Bà thì đừng mang theo gì vì ở không thiếu mặt hàng gì và giá rất hợp lý...",0,0,0,0,0,5
13,Khu vui chơi hầm hồ là địa điểm du lịch nổi tiếng tắm vui chơi nhậu nhẹt ăn uống rất mát mẻ cho mọi người ở Việt Nam với nhiều loại hình giải trí như đạp vịt và được xem các con loài động vật rất là đẹp là địa điểm du lịch nổi tiếng cho khách nước ngoài và khách trong nước ai trưa đi thì nên đi nhé nói chung là tôi đánh giá địa điểm này 5 sao là địa điểm du lịch nổi tiếng rất vui rất hấp dẫn kịch tính cho mùa hè,5,0,0,0,0,0
14,Bữa sáng theo mình không được ngon,0,0,0,2,0,0
15,"Du lịch bằng taxi ở Sài Gòn rất dễ dàng và rất rẻ miễn là bạn sử dụng một công ty có uy tín. Chúng tôi luôn sử dụng taxi Vinasun 
và thấy chúng thật tuyệt vời. Chỉ cần chọn địa chỉ bạn sẽ nói vì hầu hết không nói nhiều tiếng Anh.",0,0,0,0,5,0
